Contact Name,Invoice Number,Invoice Date,Total,Currency,Reference,Bank Account
Corvid Print & Signage,INV-1005,01/01/2026,603.00,GBP,PO-4105,2019
Northgate Cleaning Services,NGC-2026-01,02/01/2026,1450.00,GBP,Contract NGC-118,5541
Bellamy Freight,INV-1004,03/01/2026,603.00,GBP,PO-4104,8820
Fenwick Electrical,INV-1013,06/01/2026,642.00,GBP,PO-4113,3308
Draycott Facilities,INV-1009,07/01/2026,655.00,GBP,PO-4109,6634
Granthorpe Catering,INV-1015,07/01/2026,655.00,GBP,PO-4115,9145
Ashford Packaging Ltd,INV-1002,09/01/2026,681.00,GBP,PO-4102,4471
Corvid Print & Signage,INV-1006,10/01/2026,694.00,GBP,PO-4106,2019
Draycott Facilities,INV-1010,16/01/2026,746.00,GBP,PO-4110,6634
Granthorpe Catering,INV-1016,16/01/2026,746.00,GBP,PO-4116,9145
Corvid Print & Signage,INV-1007,19/01/2026,785.00,GBP,PO-4107,2019
Bellamy Freight,INV-1003,21/01/2026,512.00,GBP,PO-4103,8820
Fenwick Electrical,INV-1012,24/01/2026,551.00,GBP,PO-4112,3308
Draycott Facilities,INV-1008,25/01/2026,564.00,GBP,PO-4108,6634
Granthorpe Catering,INV-1014,25/01/2026,564.00,GBP,PO-4114,9145
Elmsworth Stationery,INV-1011,26/01/2026,577.00,GBP,PO-4111,7712
Halloway IT Services,INV-1017,26/01/2026,577.00,GBP,PO-4117,5527
Ashford Packaging Ltd,INV-1001,27/01/2026,590.00,GBP,PO-4101,4471
Fenwick Electrical,INV-1028,02/02/2026,688.00,GBP,PO-4128,3308
Northgate Cleaning Services,NGC-2026-02,02/02/2026,1450.00,GBP,Contract NGC-118,5541
Draycott Facilities,INV-1025,03/02/2026,701.00,GBP,PO-4125,6634
Granthorpe Catering,INV-1031,03/02/2026,701.00,GBP,PO-4131,9145
Elmsworth Stationery,INV-1026,04/02/2026,714.00,GBP,PO-4126,7712
Halloway IT Services,INV-1032,04/02/2026,714.00,GBP,PO-4132,5527
Ashford Packaging Ltd,INV-1018,05/02/2026,727.00,GBP,PO-4118,4471
Corvid Print & Signage,INV-1024,06/02/2026,740.00,GBP,PO-4124,2019
Bellamy Freight,INV-1022,08/02/2026,740.00,GBP,PO-4122,8820
Fenwick Electrical,INV-1029,11/02/2026,779.00,GBP,PO-4129,3308
Elmsworth Stationery,INV-1027,13/02/2026,805.00,GBP,PO-4127,7712
Halloway IT Services,INV-1033,13/02/2026,805.00,GBP,PO-4133,5527
Ashford Packaging Ltd,INV-1019,14/02/2026,818.00,GBP,PO-4119,4471
Bellamy Freight,INV-1023,17/02/2026,831.00,GBP,PO-4123,8820
Fenwick Electrical,INV-1030,20/02/2026,870.00,GBP,PO-4130,3308
Ashford Packaging Ltd,INV-1020,23/02/2026,909.00,GBP,PO-4120,4471
Bellamy Freight,INV-1021,26/02/2026,649.00,GBP,PO-4121,8820
Northgate Cleaning Services,NGC-2026-03,02/03/2026,1450.00,GBP,Contract NGC-118,5541
Bellamy Freight,INV-1035,04/03/2026,786.00,GBP,PO-4135,8820
Fenwick Electrical,INV-1043,07/03/2026,825.00,GBP,PO-4143,3308
Draycott Facilities,INV-1038,08/03/2026,838.00,GBP,PO-4138,6634
Granthorpe Catering,INV-1044,08/03/2026,838.00,GBP,PO-4144,9145
Elmsworth Stationery,INV-1040,09/03/2026,851.00,GBP,PO-4140,7712
Halloway IT Services,INV-1046,09/03/2026,851.00,GBP,PO-4146,5527
Bellamy Freight,BF-88204,09/03/2026,3180.50,GBP,PO-4471,8820
Ashford Packaging Ltd,INV-1034,10/03/2026,864.00,GBP,PO-4134,4471
Corvid Print & Signage,INV-1036,11/03/2026,877.00,GBP,PO-4136,2019
Draycott Facilities,INV-1039,17/03/2026,929.00,GBP,PO-4139,6634
Granthorpe Catering,INV-1045,17/03/2026,929.00,GBP,PO-4145,9145
Elmsworth Stationery,INV-1041,18/03/2026,942.00,GBP,PO-4141,7712
Halloway IT Services,INV-1047,18/03/2026,942.00,GBP,PO-4147,5527
Corvid Print & Signage,INV-1037,20/03/2026,968.00,GBP,PO-4137,2019
Bellamy Freight,BF-88204,20/03/2026,3180.50,GBP,PO-4471,8820
Elmsworth Stationery,INV-1042,27/03/2026,1033.00,GBP,PO-4142,7712
Halloway IT Services,INV-1048,27/03/2026,1033.00,GBP,PO-4148,5527
Northgate Cleaning Services,NGC-2026-04,02/04/2026,1450.00,GBP,Contract NGC-118,5541
Draycott Facilities,INV-1058,04/04/2026,1157.00,GBP,PO-4158,6634
Granthorpe Catering,INV-1064,04/04/2026,1157.00,GBP,PO-4164,9145
Corvid Print & Signage,INV-1055,07/04/2026,1196.00,GBP,PO-4155,2019
Bellamy Freight,INV-1051,09/04/2026,923.00,GBP,PO-4151,8820
Fenwick Electrical,INV-1060,12/04/2026,962.00,GBP,PO-4160,3308
Draycott Facilities,INV-1056,13/04/2026,975.00,GBP,PO-4156,6634
Granthorpe Catering,INV-1062,13/04/2026,975.00,GBP,PO-4162,9145
Elmsworth Stationery,INV-1059,14/04/2026,988.00,GBP,PO-4159,7712
Halloway IT Services,INV-1065,14/04/2026,988.00,GBP,PO-4165,5527
Ashford Packaging Ltd,INV-1049,15/04/2026,1001.00,GBP,PO-4149,4471
Corvid Print & Signage,INV-1053,16/04/2026,1014.00,GBP,PO-4153,2019
Bellamy Freight,INV-1052,18/04/2026,1014.00,GBP,PO-4152,8820
Fenwick Electrical,INV-1061,21/04/2026,1053.00,GBP,PO-4161,3308
Draycott Facilities,INV-1057,22/04/2026,1066.00,GBP,PO-4157,6634
Granthorpe Catering,INV-1063,22/04/2026,1066.00,GBP,PO-4163,9145
Ashford Packaging Ltd,INV-1050,24/04/2026,1092.00,GBP,PO-4150,4471
Corvid Print & Signage,INV-1054,25/04/2026,1105.00,GBP,PO-4154,2019
Elmsworth Stationery,INV-1075,01/05/2026,1216.00,GBP,PO-4175,7712
Halloway IT Services,INV-1081,01/05/2026,1216.00,GBP,PO-4181,5527
Ashford Packaging Ltd,INV-1067,02/05/2026,1229.00,GBP,PO-4167,4471
Northgate Cleaning Services,NGC-2026-05,02/05/2026,1450.00,GBP,Contract NGC-118,5541
Fenwick Electrical,FE-3312,04/05/2026,2240.00,GBP,PO-5108,3308
Bellamy Freight,INV-1071,05/05/2026,1242.00,GBP,PO-4171,8820
Fenwick Electrical,INV-1078,08/05/2026,1281.00,GBP,PO-4178,3308
